Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.64.24-192.168.64.25-80-47628-6,192.168.64.25,47628,192.168.64.24,80,6,10/12/2024 05:54:12 PM,20310126,4,7,151.0,482.0,120.0,0.0,37.75,55.43990740733009,482.0,0.0,68.85714285714285,182.17887599044752,31.166719497456587,0.5416017606193088,2031012.5999999999,6180074.541283628,1.9608667E7,11.0,700900.0,233633.33333333334,404013.58626453805,700148.0,211.0,2.0310126E7,3385021.0,7952858.955205707,1.9608667E7,11.0,0,0,0,0,128,240,0.19694609477065775,0.34465566584865104,0.0,482.0,52.75,139.43204601003836,19441.295454545456,0,1,0,0,0,0,0,0,1.0,57.54545454545455,37.75,68.85714285714286,0,0,0,0,0,0,4,151,7,482,-1,509,3,0,701315.0,0.0,701315.0,701315.0,1.9608667E7,0.0,1.9608667E7,1.9608667E7,No Label
192.168.64.24-192.168.64.25-80-47700-6,192.168.64.25,47700,192.168.64.24,80,6,10/12/2024 05:54:12 PM,20322083,4,7,151.0,482.0,119.0,0.0,37.75,54.8414381041684,482.0,0.0,68.85714285714285,182.17887599044752,31.148381787437835,0.5412830958322531,2032208.3,6187367.151796923,1.963095E7,7.0,690670.0,230223.33333333334,398199.9313841394,690025.0,246.0,2.0322083E7,3387013.8333333335,7962652.245780484,1.963095E7,7.0,0,0,0,0,128,240,0.19683021666627384,0.3444528791659792,0.0,482.0,52.75,139.36748349075353,19423.295454545456,0,1,0,0,0,0,0,0,1.0,57.54545454545455,37.75,68.85714285714286,0,0,0,0,0,0,4,151,7,482,-1,509,3,0,691036.0,0.0,691036.0,691036.0,1.963095E7,0.0,1.963095E7,1.963095E7,No Label
192.168.64.24-192.168.64.25-80-47738-6,192.168.64.25,47738,192.168.64.24,80,6,10/12/2024 05:54:12 PM,20314896,4,7,147.0,482.0,115.0,0.0,36.75,52.86697141568322,482.0,0.0,68.85714285714285,182.17887599044752,30.962501604733784,0.5414745908617992,2031489.6,6187841.187328479,1.9631874E7,13.0,682015.0,227338.33333333334,392697.20568694314,680786.0,540.0,2.0314896E7,3385816.0,7963559.8329091,1.9631874E7,15.0,0,0,0,0,128,240,0.19689985122247242,0.3445747396393267,0.0,482.0,52.41666666666667,139.19930664229966,19376.44696969697,0,1,0,0,0,0,0,0,1.0,57.18181818181818,36.75,68.85714285714286,0,0,0,0,0,0,4,147,7,482,-1,509,3,0,682906.0,0.0,682906.0,682906.0,1.9631874E7,0.0,1.9631874E7,1.9631874E7,No Label
192.168.64.24-192.168.64.25-80-47780-6,192.168.64.25,47780,192.168.64.24,80,6,10/12/2024 05:54:12 PM,20307749,4,7,144.0,482.0,112.0,0.0,36.0,51.387417396349726,482.0,0.0,68.85714285714285,182.17887599044752,30.82567152075791,0.5416651545181103,2030774.9,6188949.929598063,1.963458E7,10.0,672573.0,224191.0,387863.35083763715,672057.0,142.0,2.0307749E7,3384624.8333333335,7965353.510627872,1.963458E7,10.0,0,0,0,0,128,240,0.19696914709749463,0.3446960074206156,0.0,482.0,52.166666666666664,139.07933205929845,19343.060606060604,0,1,0,0,0,0,0,0,1.0,56.90909090909091,36.0,68.85714285714286,0,0,0,0,0,0,4,144,7,482,-1,509,3,0,673110.0,0.0,673110.0,673110.0,1.963458E7,0.0,1.963458E7,1.963458E7,No Label
192.168.64.24-192.168.64.25-80-47778-6,192.168.64.25,47778,192.168.64.24,80,6,10/12/2024 05:54:12 PM,20317750,4,7,149.0,482.0,119.0,0.0,37.25,55.05376160324258,482.0,0.0,68.85714285714285,182.17887599044752,31.056588450984975,0.5413985308412594,2031775.0000000002,6191518.349926472,1.9642862E7,11.0,674079.0,224693.0,388405.56204050424,673185.0,173.0,2.031775E7,3386291.6666666665,7968605.827886147,1.9642862E7,13.0,0,0,0,0,128,240,0.19687219303318526,0.34452633780807423,0.0,482.0,52.58333333333334,139.41009376090472,19435.174242424244,0,1,0,0,0,0,0,0,1.0,57.36363636363637,37.25,68.85714285714286,0,0,0,0,0,0,4,149,7,482,-1,509,3,0,674812.0,0.0,674812.0,674812.0,1.9642862E7,0.0,1.9642862E7,1.9642862E7,No Label
192.168.64.24-192.168.64.25-80-47850-6,192.168.64.25,47850,192.168.64.24,80,6,10/12/2024 05:54:12 PM,20322927,4,7,151.0,482.0,120.0,0.0,37.75,55.5,482.0,0.0,68.85714285714285,182.17887599044752,31.14708821224423,0.5412606166424748,2032292.7000000002,6195745.800639502,1.9655635E7,12.0,666797.0,222265.66666666666,384286.96830667224,666002.0,243.0,2.0322927E7,3387154.5,7974342.016252645,1.9655635E7,26.0,0,0,0,0,128,240,0.19682204241544538,0.3444385742270294,0.0,482.0,52.75,139.43856581435293,19443.113636363636,0,1,0,0,0,0,0,0,1.0,57.54545454545455,37.75,68.85714285714286,0,0,0,0,0,0,4,151,7,482,-1,509,3,0,667187.0,0.0,667187.0,667187.0,1.9655635E7,0.0,1.9655635E7,1.9655635E7,No Label
192.168.64.24-192.168.64.25-80-36390-6,192.168.64.25,36390,192.168.64.24,80,6,10/12/2024 05:54:12 PM,20306256,4,7,143.0,482.0,112.0,0.0,35.75,51.551753930718334,482.0,0.0,68.85714285714285,182.17887599044752,30.778692044461568,0.5417049799825235,2030625.5999999999,6197577.206926684,1.9659798E7,6.0,645874.0,215291.33333333334,372405.3687479993,645308.0,191.0,2.0306256E7,3384376.0,7977471.35981015,1.9659798E7,7.0,0,0,0,0,128,240,0.19698362908455402,0.34472135089796957,0.0,482.0,52.08333333333333,139.1065375454324,19350.628787878788,0,1,0,0,0,0,0,0,1.0,56.81818181818182,35.75,68.85714285714286,0,0,0,0,0,0,4,143,7,482,-1,509,3,0,646376.0,0.0,646376.0,646376.0,1.9659798E7,0.0,1.9659798E7,1.9659798E7,No Label
192.168.64.24-192.168.64.25-80-47620-6,192.168.64.25,47620,192.168.64.24,80,6,10/12/2024 05:54:12 PM,20374432,4,7,184.0,482.0,152.0,0.0,46.0,71.18520445523306,482.0,0.0,68.85714285714285,182.17887599044752,32.688027818395135,0.5398923513548746,2037443.2000000002,6199974.589888858,1.9671727E7,9.0,702189.0,234063.0,404802.80616122216,701489.0,237.0,2.0374432E7,3395738.666666667,7978504.620000083,1.9671727E7,20.0,0,0,0,0,128,240,0.19632449140177258,0.343567859953102,0.0,482.0,55.5,141.1082756415989,19911.545454545456,0,1,0,0,0,0,0,0,1.0,60.54545454545455,46.0,68.85714285714286,0,0,0,0,0,0,4,184,7,482,-1,508,3,0,702616.0,0.0,702616.0,702616.0,1.9671727E7,0.0,1.9671727E7,1.9671727E7,No Label
192.168.64.24-192.168.64.25-80-36362-6,192.168.64.25,36362,192.168.64.24,80,6,10/12/2024 05:54:12 PM,20319768,4,7,150.0,482.0,120.0,0.0,37.5,55.60275772537425,482.0,0.0,68.85714285714285,182.17887599044752,31.102717314489023,0.5413447633850937,2031976.7999999998,6201025.854736882,1.9670896E7,7.0,648412.0,216137.33333333334,373835.180495808,647805.0,197.0,2.0319768E7,3386628.0,7981833.424885638,1.9670896E7,7.0,0,0,0,0,128,240,0.19685264123094318,0.3444921221541506,0.0,482.0,52.666666666666664,139.45956294557107,19448.969696969696,0,1,0,0,0,0,0,0,1.0,57.45454545454545,37.5,68.85714285714286,0,0,0,0,0,0,4,150,7,482,-1,509,3,0,648783.0,0.0,648783.0,648783.0,1.9670896E7,0.0,1.9670896E7,1.9670896E7,No Label
192.168.64.24-192.168.64.25-80-36428-6,192.168.64.25,36428,192.168.64.24,80,6,10/12/2024 05:54:12 PM,20314577,4,7,147.0,482.0,115.0,0.0,36.75,52.86697141568322,482.0,0.0,68.85714285714285,182.17887599044752,30.96298780919731,0.5414830936425602,2031457.7,6201447.704035962,1.9671772E7,5.0,642282.0,214094.0,369921.9273076415,641243.0,343.0,2.0314577E7,3385762.8333333335,7982599.244943879,1.9671772E7,10.0,0,0,0,0,128,240,0.19690294314274917,0.34458015049981106,0.0,482.0,52.41666666666667,139.19930664229966,19376.44696969697,0,1,0,0,0,0,0,0,1.0,57.18181818181818,36.75,68.85714285714286,0,0,0,0,0,0,4,147,7,482,-1,509,3,0,642789.0,0.0,642789.0,642789.0,1.9671772E7,0.0,1.9671772E7,1.9671772E7,No Label
