Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.6-54.146.217.185-61358-443-6,192.168.1.6,61358,54.146.217.185,443,6,02/01/2025 05:03:06 PM,4527694,6,6,2033.0,225.0,1452.0,0.0,338.83333333333337,583.6020619109108,156.0,0.0,37.5,64.27985687600743,498.7086141422101,2.6503557881782647,411608.54545454547,1100994.1836487933,3713472.0,0.0,4274255.0,854851.0,1604469.0654715037,3713472.0,0.0,764976.0,152995.2,140921.63434050858,282494.0,0.0,0,0,0,0,120,144,1.3251778940891323,1.3251778940891323,0.0,1452.0,173.6923076923077,411.1675215398594,169058.73076923075,0,1,0,0,0,0,0,0,1.0,188.16666666666666,338.8333333333333,37.5,0,0,0,0,0,0,6,2033,6,225,-1,121,3,0,0,0,0,0,0,0,0,0,No Label
192.168.1.6-54.146.217.185-61357-443-6,192.168.1.6,61357,54.146.217.185,443,6,02/01/2025 05:03:05 PM,4786241,9,8,2500.0,858.0,1452.0,0.0,277.77777777777777,474.0170824394881,624.0,0.0,107.25,216.39101512902846,701.5944245181134,3.551847890651557,299140.0625,930526.6693798352,3763073.0,0.0,4516690.0,564586.25,1408196.5624419616,4039852.0,0.0,1023168.0,146166.85714285713,137656.709108115,282494.0,0.0,0,0,0,0,180,184,1.8803900597567067,1.6714578308948502,0.0,1452.0,186.55555555555554,366.64812787358204,134430.84967320258,0,1,0,0,0,0,0,0,0.0,197.52941176470588,277.77777777777777,107.25,0,0,0,0,0,0,9,2500,8,858,-1,187,6,0,0,0,0,0,0,0,0,0,No Label
192.168.1.6-54.146.217.185-61358-443-6,54.146.217.185,443,192.168.1.6,61358,6,02/01/2025 05:03:10 PM,0,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,121,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.6-202.88.152.8-61365-53-6,192.168.1.6,61365,202.88.152.8,53,6,02/01/2025 05:03:13 PM,9862,4,4,35.0,573.0,33.0,0.0,8.75,16.194134740701646,573.0,0.0,143.25,286.5,61650.780774690735,811.1944838775097,1408.857142857143,1675.9806510986764,4019.0,38.0,5732.0,1910.6666666666667,3178.8231050710156,5581.0,38.0,9376.0,3125.3333333333335,1228.0644662774562,4019.0,1725.0,0,0,0,0,80,104,405.59724193875485,405.59724193875485,0.0,573.0,67.55555555555556,189.8513307242743,36043.52777777778,0,1,0,0,0,0,0,0,1.0,76.0,8.75,143.25,0,0,0,0,0,0,4,35,4,573,-1,7986,2,0,0,0,0,0,0,0,0,0,No Label
142.250.196.46-192.168.1.6-443-61366-6,192.168.1.6,61366,142.250.196.46,443,6,02/01/2025 05:03:13 PM,6736422,9,12,1863.0,9572.0,1412.0,0.0,207.00000000000003,468.4693159642369,1412.0,0.0,797.6666666666666,636.7107711202992,1697.4886668323331,3.1173818979867947,336821.1,1440741.199103357,6456088.0,0.0,6723742.0,840467.75,2270009.1566046756,6456088.0,0.0,234390.0,21308.181818181816,44822.66554728351,142269.0,0.0,0,0,0,0,192,264,1.3360208134229121,1.7813610845638828,0.0,1412.0,519.7727272727274,628.3925018359437,394877.1363636364,0,1,0,0,0,0,0,0,1.0,544.5238095238095,207.0,797.6666666666666,0,0,0,0,0,0,9,1863,12,9572,-1,1047,3,0,0,0,0,0,0,0,0,0,No Label
142.250.195.227-192.168.1.6-443-61374-6,192.168.1.6,61374,142.250.195.227,443,6,02/01/2025 05:03:26 PM,4076441,9,10,1831.0,7494.0,1412.0,0.0,203.44444444444446,467.1373221845775,1412.0,0.0,749.4,660.5746992833841,2287.5346411244514,4.66092849129915,226468.94444444444,926470.1768591095,3937689.0,0.0,4074104.0,509263.0,1385689.1073548929,3937689.0,0.0,98680.0,10964.444444444445,29604.55433337543,89811.0,0.0,0,0,0,0,192,236,2.2078082327206503,2.4531202585785,0.0,1412.0,466.2499999999999,620.4284491593819,384931.4605263157,0,1,0,0,0,0,0,0,1.0,490.7894736842105,203.44444444444446,749.4,0,0,0,0,0,0,9,1831,10,7494,-1,1048,3,0,0,0,0,0,0,0,0,0,No Label
192.168.1.6-54.146.217.185-61381-443-6,192.168.1.6,61381,54.146.217.185,443,6,02/01/2025 05:03:36 PM,3780725,9,9,2500.0,858.0,1452.0,0.0,277.77777777777777,474.0170824394881,624.0,0.0,95.33333333333333,205.54804791094463,888.1894345661216,4.76099160875229,222395.58823529413,680313.39042386,2837313.0,0.0,3557227.0,444653.375,1058003.9759424261,3051831.0,0.0,943412.0,117926.49999999997,121684.34003014286,254817.0,0.0,0,0,0,0,180,204,2.380495804376145,2.380495804376145,0.0,1452.0,176.73684210526315,358.8790947914946,128794.20467836257,0,1,0,0,0,0,0,0,1.0,186.55555555555554,277.77777777777777,95.33333333333333,0,0,0,0,0,0,9,2500,9,858,-1,140,6,0,0,0,0,0,0,0,0,0,No Label
157.240.23.19-192.168.1.6-443-61384-6,192.168.1.6,61384,157.240.23.19,443,6,02/01/2025 05:03:40 PM,401520,8,12,3221.0,982.0,1392.0,0.0,402.625,494.1141966040991,488.0,0.0,81.83333333333333,149.601186999018,10467.722653915123,49.810719266786215,21132.631578947374,50013.73752192772,177733.0,0.0,386083.0,55154.71428571429,78050.40797184489,186999.0,0.0,401520.0,36501.818181818184,63975.16916713574,177733.0,0.0,0,0,0,0,160,264,19.924287706714484,29.886431560071728,0.0,1392.0,200.14285714285717,352.93360363024175,124562.12857142859,0,1,0,0,0,0,0,0,1.0,210.15,402.625,81.83333333333333,0,0,0,0,0,0,8,3221,12,982,-1,294,5,0,0,0,0,0,0,0,0,0,No Label
157.240.23.19-192.168.1.6-443-61384-6,192.168.1.6,61384,157.240.23.19,443,6,02/01/2025 05:03:41 PM,492,2,1,33.0,0.0,33.0,0.0,16.5,23.33452377915607,0.0,0.0,0.0,0.0,67073.17073170732,6097.560975609756,246.0,216.37467504308356,399.0,93.0,93.0,93.0,0.0,93.0,93.0,0,0,0,0,0,0,0,0,0,40,20,4065.0406504065036,2032.5203252032518,0.0,33.0,8.25,16.5,272.25,0,0,0,0,1,0,0,0,0.0,11.0,16.5,0.0,0,0,0,0,0,0,2,33,1,0,-1,512,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.6-54.146.217.185-61402-443-6,192.168.1.6,61402,54.146.217.185,443,6,02/01/2025 05:04:07 PM,2849920,9,8,2596.0,858.0,1452.0,0.0,288.44444444444446,479.0256024241061,624.0,0.0,107.25,216.39101512902846,1211.9638445991466,5.965079721536043,178120.0,444962.53827380424,1794075.0,0.0,2608992.0,326124.0,697095.5497605762,2025646.0,0.0,1055845.0,150835.0,141596.7447401246,303318.0,0.0,0,0,0,0,180,184,3.15798338198967,2.8070963395463733,0.0,1452.0,191.88888888888889,371.1300531348401,137737.51633986927,0,1,0,0,0,0,0,0,0.0,203.1764705882353,288.44444444444446,107.25,0,0,0,0,0,0,9,2596,8,858,-1,132,6,0,0,0,0,0,0,0,0,0,No Label
